Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","PCB for all the components",1,13.58,"https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010","JLCPCB"
"10 ohm resistor","Resistor for the PCB",5,1.32,"https://www.aliexpress.com/item/1005001437016232.html?spm=a2g0o.productlist.main.25.79ca1H2A1H2AOB&algo_pvid=20ba9475-3400-47e4-a338-b3b9dafa6b8d&algo_exp_id=20ba9475-3400-47e4-a338-b3b9dafa6b8d-22&pdp_ext_f=%7B%22order%22%3A%22131%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.57%211.41%21%21%211.10%210.99%21%402101dedf17721606578806807eb6a1%2112000016109444174%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838623&curPageLogUid=U5uodymgkUGQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001437016232%7C_p_origin_prod%3A","Aliexpress"
"90 degree brackets","mounting and assembling T slot profiles",8,0.73,"https://jlcmc.com/product/s/T02/TPDB/die-cast-corner-bracket-eu-20-series-connector?k=TPDB-206-2020&productModelNumber=TPDB-206-2020","JLCMC"
"T nuts","Mounting components to T slot profiles",60,7.23,"https://www.aliexpress.com/item/1005007825040716.html?spm=a2g0o.productlist.main.1.2b5e9Jt29Jt2im&algo_pvid=cbc90c19-296d-4550-b231-f26b2f267562&algo_exp_id=cbc90c19-296d-4550-b231-f26b2f267562-0&pdp_ext_f=%7B%22order%22%3A%223627%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.45%211.40%21%21%2126.22%216.71%21%402101c59117765644228473233ee706%2112000042345603834%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000203295490&curPageLogUid=qxyuanETgGiG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007825040716%7C_p_origin_prod%3A","Aliexpress"
"Screws","M5 screws for assembling components. 10 of 16mm, 20 of 14mm, 4 of 30mm, 6 of 45mm, 6 of 65mm, 16 of 8mm. Also 10 of M2x14mm.",76,1.79,"https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)","JLCMC"
"IR2104","IC for powering each phases mosfet",3,2.28,"https://www.aliexpress.com/item/1005005970327760.html?spm=a2g0o.productlist.main.23.5c1bHUXvHUXvA0&algo_pvid=cfa16c6e-e9f8-49b4-b31d-c2c4f5874e03&algo_exp_id=cfa16c6e-e9f8-49b4-b31d-c2c4f5874e03-18&pdp_ext_f=%7B%22order%22%3A%22637%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.12%212.02%21%21%211.48%211.41%21%402101e81117712033727413624eaf11%2112000035105437556%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895&curPageLogUid=UiB2F2SOtrNB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005970327760%7C_p_origin_prod%3A","Aliexpress"
"Small Cap","0.47 uF 50V CAP",10,5.03,"https://www.aliexpress.com/item/1005009938373275.html?spm=a2g0o.productlist.main.5.4b8c770v770vH5&algo_pvid=075c2e82-0ae4-4569-a750-61765aa2f15a&algo_exp_id=075c2e82-0ae4-4569-a750-61765aa2f15a-4&pdp_ext_f=%7B%22order%22%3A%22143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2111.91%211.41%21%21%2157.24%216.79%21%402101e8f317721561725284158e3d63%2112000050630167302%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838560&curPageLogUid=g6TO5H8pSlm0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009938373275%7C_p_origin_prod%3A","Aliexpress"
"LM2596","Buck converter for supplying low voltage power to the PCB",1,2.56,"https://www.aliexpress.com/item/1005010036505161.html?spm=a2g0o.productlist.main.3.245a324a3VAaLL&algo_pvid=f0aaf705-f745-4966-bf3b-609c5fd63b43&algo_exp_id=f0aaf705-f745-4966-bf3b-609c5fd63b43-2&pdp_ext_f=%7B%22order%22%3A%22910%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.57%212.47%21%21%2117.17%2111.85%21%402101c59117764972466628438ee704%2112000050905433462%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=02yFEsARBKx0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010036505161%7C_p_origin_prod%3A","Aliexpress"
"INA240","The current amplifier to sense motor current with the shunt",3,11.48,"https://www.aliexpress.com/item/1005007050377087.html?spm=a2g0o.productlist.main.1.59bb640dmD6bm9&algo_pvid=5660d2fb-76d0-4ac9-8936-9aaff13eced9&algo_exp_id=5660d2fb-76d0-4ac9-8936-9aaff13eced9-0&pdp_ext_f=%7B%22order%22%3A%2288%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.29%215.29%21%21%213.68%213.68%21%402101e2b417719031354937568ebc74%2112000039231521353%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895&curPageLogUid=PooybKR7LpTQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007050377087%7C_p_origin_prod%3A#nav-specification","Aliexpress"
"MOSFET","IRF2204 mosfet for the 3 phase motor driver",3,5.63,"https://www.aliexpress.com/item/1005008398718849.html?spm=a2g0o.productlist.main.5.253d37aaB6oOcP&algo_pvid=968fc11d-b1d2-4afe-80e2-908033e5c1a2&algo_exp_id=968fc11d-b1d2-4afe-80e2-908033e5c1a2-4&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.13%216.13%21%21%2129.42%2129.42%21%402101e62517719020271583311e1467%2112000045693925609%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895&curPageLogUid=EANWfiNw3IgJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008398718849%7C_p_origin_prod%3A","Aliexpress"
